base,base_is_boundary,base_community,optionA_dest,optionA_plausible,optionA_steps,optionA_within_code,optionA_same_community,optionA_dest_is_boundary,optionA_tag,optionB_dest,optionB_plausible,optionB_steps,optionB_within_code,optionB_same_community,optionB_dest_is_boundary,optionB_tag,comparison_type,comparison_pair_tag
A,False,0,B,True,1.0,W,True,True,NB1WB,C,True,1.0,W,True,False,NB1WNB,T2,NB1WB__NB1WNB
A,False,0,B,True,1.0,W,True,True,NB1WB,D,True,1.0,W,True,True,NB1WB,T2,NB1WB__NB1WB
A,False,0,B,True,1.0,W,True,True,NB1WB,E,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
A,False,0,B,True,1.0,W,True,True,NB1WB,F,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
A,False,0,B,True,1.0,W,True,True,NB1WB,G,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
A,False,0,B,True,1.0,W,True,True,NB1WB,H,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
A,False,0,C,True,1.0,W,True,False,NB1WNB,D,True,1.0,W,True,True,NB1WB,T2,NB1WB__NB1WNB
A,False,0,C,True,1.0,W,True,False,NB1WNB,E,False,2.0,X,False,True,NB2XB,T1,NB1WNB__NB2XB
A,False,0,C,True,1.0,W,True,False,NB1WNB,F,False,3.0,X,False,False,NB3XNB,T1,NB1WNB__NB3XNB
A,False,0,C,True,1.0,W,True,False,NB1WNB,G,False,2.0,X,False,True,NB2XB,T1,NB1WNB__NB2XB
A,False,0,C,True,1.0,W,True,False,NB1WNB,H,False,3.0,X,False,False,NB3XNB,T1,NB1WNB__NB3XNB
A,False,0,D,True,1.0,W,True,True,NB1WB,E,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
A,False,0,D,True,1.0,W,True,True,NB1WB,F,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
A,False,0,D,True,1.0,W,True,True,NB1WB,G,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
A,False,0,D,True,1.0,W,True,True,NB1WB,H,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
A,False,0,E,False,2.0,X,False,True,NB2XB,F,False,3.0,X,False,False,NB3XNB,T0,NB2XB__NB3XNB
A,False,0,E,False,2.0,X,False,True,NB2XB,G,False,2.0,X,False,True,NB2XB,T0,NB2XB__NB2XB
A,False,0,E,False,2.0,X,False,True,NB2XB,H,False,3.0,X,False,False,NB3XNB,T0,NB2XB__NB3XNB
A,False,0,F,False,3.0,X,False,False,NB3XNB,G,False,2.0,X,False,True,NB2XB,T0,NB2XB__NB3XNB
A,False,0,F,False,3.0,X,False,False,NB3XNB,H,False,3.0,X,False,False,NB3XNB,T0,NB3XNB__NB3XNB
A,False,0,G,False,2.0,X,False,True,NB2XB,H,False,3.0,X,False,False,NB3XNB,T0,NB2XB__NB3XNB
B,True,0,A,True,1.0,W,True,False,B1WNB,C,True,1.0,W,True,False,B1WNB,T2,B1WNB__B1WNB
B,True,0,A,True,1.0,W,True,False,B1WNB,D,False,2.0,W,True,True,B2WB,T1,B1WNB__B2WB
B,True,0,A,True,1.0,W,True,False,B1WNB,E,True,1.0,X,False,True,B1XB,T2,B1WNB__B1XB
B,True,0,A,True,1.0,W,True,False,B1WNB,F,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
B,True,0,A,True,1.0,W,True,False,B1WNB,G,False,3.0,X,False,True,B3XB,T1,B1WNB__B3XB
B,True,0,A,True,1.0,W,True,False,B1WNB,H,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
B,True,0,C,True,1.0,W,True,False,B1WNB,D,False,2.0,W,True,True,B2WB,T1,B1WNB__B2WB
B,True,0,C,True,1.0,W,True,False,B1WNB,E,True,1.0,X,False,True,B1XB,T2,B1WNB__B1XB
B,True,0,C,True,1.0,W,True,False,B1WNB,F,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
B,True,0,C,True,1.0,W,True,False,B1WNB,G,False,3.0,X,False,True,B3XB,T1,B1WNB__B3XB
B,True,0,C,True,1.0,W,True,False,B1WNB,H,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
B,True,0,D,False,2.0,W,True,True,B2WB,E,True,1.0,X,False,True,B1XB,T1,B1XB__B2WB
B,True,0,D,False,2.0,W,True,True,B2WB,F,False,2.0,X,False,False,B2XNB,T0,B2WB__B2XNB
B,True,0,D,False,2.0,W,True,True,B2WB,G,False,3.0,X,False,True,B3XB,T0,B2WB__B3XB
B,True,0,D,False,2.0,W,True,True,B2WB,H,False,2.0,X,False,False,B2XNB,T0,B2WB__B2XNB
B,True,0,E,True,1.0,X,False,True,B1XB,F,False,2.0,X,False,False,B2XNB,T1,B1XB__B2XNB
B,True,0,E,True,1.0,X,False,True,B1XB,G,False,3.0,X,False,True,B3XB,T1,B1XB__B3XB
B,True,0,E,True,1.0,X,False,True,B1XB,H,False,2.0,X,False,False,B2XNB,T1,B1XB__B2XNB
B,True,0,F,False,2.0,X,False,False,B2XNB,G,False,3.0,X,False,True,B3XB,T0,B2XNB__B3XB
B,True,0,F,False,2.0,X,False,False,B2XNB,H,False,2.0,X,False,False,B2XNB,T0,B2XNB__B2XNB
B,True,0,G,False,3.0,X,False,True,B3XB,H,False,2.0,X,False,False,B2XNB,T0,B2XNB__B3XB
C,False,0,A,True,1.0,W,True,False,NB1WNB,B,True,1.0,W,True,True,NB1WB,T2,NB1WB__NB1WNB
C,False,0,A,True,1.0,W,True,False,NB1WNB,D,True,1.0,W,True,True,NB1WB,T2,NB1WB__NB1WNB
C,False,0,A,True,1.0,W,True,False,NB1WNB,E,False,2.0,X,False,True,NB2XB,T1,NB1WNB__NB2XB
C,False,0,A,True,1.0,W,True,False,NB1WNB,F,False,3.0,X,False,False,NB3XNB,T1,NB1WNB__NB3XNB
C,False,0,A,True,1.0,W,True,False,NB1WNB,G,False,2.0,X,False,True,NB2XB,T1,NB1WNB__NB2XB
C,False,0,A,True,1.0,W,True,False,NB1WNB,H,False,3.0,X,False,False,NB3XNB,T1,NB1WNB__NB3XNB
C,False,0,B,True,1.0,W,True,True,NB1WB,D,True,1.0,W,True,True,NB1WB,T2,NB1WB__NB1WB
C,False,0,B,True,1.0,W,True,True,NB1WB,E,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
C,False,0,B,True,1.0,W,True,True,NB1WB,F,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
C,False,0,B,True,1.0,W,True,True,NB1WB,G,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
C,False,0,B,True,1.0,W,True,True,NB1WB,H,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
C,False,0,D,True,1.0,W,True,True,NB1WB,E,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
C,False,0,D,True,1.0,W,True,True,NB1WB,F,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
C,False,0,D,True,1.0,W,True,True,NB1WB,G,False,2.0,X,False,True,NB2XB,T1,NB1WB__NB2XB
C,False,0,D,True,1.0,W,True,True,NB1WB,H,False,3.0,X,False,False,NB3XNB,T1,NB1WB__NB3XNB
C,False,0,E,False,2.0,X,False,True,NB2XB,F,False,3.0,X,False,False,NB3XNB,T0,NB2XB__NB3XNB
C,False,0,E,False,2.0,X,False,True,NB2XB,G,False,2.0,X,False,True,NB2XB,T0,NB2XB__NB2XB
C,False,0,E,False,2.0,X,False,True,NB2XB,H,False,3.0,X,False,False,NB3XNB,T0,NB2XB__NB3XNB
C,False,0,F,False,3.0,X,False,False,NB3XNB,G,False,2.0,X,False,True,NB2XB,T0,NB2XB__NB3XNB
C,False,0,F,False,3.0,X,False,False,NB3XNB,H,False,3.0,X,False,False,NB3XNB,T0,NB3XNB__NB3XNB
C,False,0,G,False,2.0,X,False,True,NB2XB,H,False,3.0,X,False,False,NB3XNB,T0,NB2XB__NB3XNB
D,True,0,A,True,1.0,W,True,False,B1WNB,B,False,2.0,W,True,True,B2WB,T1,B1WNB__B2WB
D,True,0,A,True,1.0,W,True,False,B1WNB,C,True,1.0,W,True,False,B1WNB,T2,B1WNB__B1WNB
D,True,0,A,True,1.0,W,True,False,B1WNB,E,False,3.0,X,False,True,B3XB,T1,B1WNB__B3XB
D,True,0,A,True,1.0,W,True,False,B1WNB,F,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
D,True,0,A,True,1.0,W,True,False,B1WNB,G,True,1.0,X,False,True,B1XB,T2,B1WNB__B1XB
D,True,0,A,True,1.0,W,True,False,B1WNB,H,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
D,True,0,B,False,2.0,W,True,True,B2WB,C,True,1.0,W,True,False,B1WNB,T1,B1WNB__B2WB
D,True,0,B,False,2.0,W,True,True,B2WB,E,False,3.0,X,False,True,B3XB,T0,B2WB__B3XB
D,True,0,B,False,2.0,W,True,True,B2WB,F,False,2.0,X,False,False,B2XNB,T0,B2WB__B2XNB
D,True,0,B,False,2.0,W,True,True,B2WB,G,True,1.0,X,False,True,B1XB,T1,B1XB__B2WB
D,True,0,B,False,2.0,W,True,True,B2WB,H,False,2.0,X,False,False,B2XNB,T0,B2WB__B2XNB
D,True,0,C,True,1.0,W,True,False,B1WNB,E,False,3.0,X,False,True,B3XB,T1,B1WNB__B3XB
D,True,0,C,True,1.0,W,True,False,B1WNB,F,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
D,True,0,C,True,1.0,W,True,False,B1WNB,G,True,1.0,X,False,True,B1XB,T2,B1WNB__B1XB
D,True,0,C,True,1.0,W,True,False,B1WNB,H,False,2.0,X,False,False,B2XNB,T1,B1WNB__B2XNB
D,True,0,E,False,3.0,X,False,True,B3XB,F,False,2.0,X,False,False,B2XNB,T0,B2XNB__B3XB
D,True,0,E,False,3.0,X,False,True,B3XB,G,True,1.0,X,False,True,B1XB,T1,B1XB__B3XB
D,True,0,E,False,3.0,X,False,True,B3XB,H,False,2.0,X,False,False,B2XNB,T0,B2XNB__B3XB
D,True,0,F,False,2.0,X,False,False,B2XNB,G,True,1.0,X,False,True,B1XB,T1,B1XB__B2XNB
D,True,0,F,False,2.0,X,False,False,B2XNB,H,False,2.0,X,False,False,B2XNB,T0,B2XNB__B2XNB
D,True,0,G,True,1.0,X,False,True,B1XB,H,False,2.0,X,False,False,B2XNB,T1,B1XB__B2XNB
E,True,1,A,False,2.0,X,False,False,B2XNB,B,True,1.0,X,False,True,B1XB,T1,B1XB__B2XNB
E,True,1,A,False,2.0,X,False,False,B2XNB,C,False,2.0,X,False,False,B2XNB,T0,B2XNB__B2XNB
E,True,1,A,False,2.0,X,False,False,B2XNB,D,False,3.0,X,False,True,B3XB,T0,B2XNB__B3XB
E,True,1,A,False,2.0,X,False,False,B2XNB,F,True,1.0,W,True,False,B1WNB,T1,B1WNB__B2XNB
E,True,1,A,False,2.0,X,False,False,B2XNB,G,False,2.0,W,True,True,B2WB,T0,B2WB__B2XNB
E,True,1,A,False,2.0,X,False,False,B2XNB,H,True,1.0,W,True,False,B1WNB,T1,B1WNB__B2XNB
E,True,1,B,True,1.0,X,False,True,B1XB,C,False,2.0,X,False,False,B2XNB,T1,B1XB__B2XNB
E,True,1,B,True,1.0,X,False,True,B1XB,D,False,3.0,X,False,True,B3XB,T1,B1XB__B3XB
E,True,1,B,True,1.0,X,False,True,B1XB,F,True,1.0,W,True,False,B1WNB,T2,B1WNB__B1XB
E,True,1,B,True,1.0,X,False,True,B1XB,G,False,2.0,W,True,True,B2WB,T1,B1XB__B2WB
E,True,1,B,True,1.0,X,False,True,B1XB,H,True,1.0,W,True,False,B1WNB,T2,B1WNB__B1XB
E,True,1,C,False,2.0,X,False,False,B2XNB,D,False,3.0,X,False,True,B3XB,T0,B2XNB__B3XB
E,True,1,C,False,2.0,X,False,False,B2XNB,F,True,1.0,W,True,False,B1WNB,T1,B1WNB__B2XNB
E,True,1,C,False,2.0,X,False,False,B2XNB,G,False,2.0,W,True,True,B2WB,T0,B2WB__B2XNB
E,True,1,C,False,2.0,X,False,False,B2XNB,H,True,1.0,W,True,False,B1WNB,T1,B1WNB__B2XNB
E,True,1,D,False,3.0,X,False,True,B3XB,F,True,1.0,W,True,False,B1WNB,T1,B1WNB__B3XB
E,True,1,D,False,3.0,X,False,True,B3XB,G,False,2.0,W,True,True,B2WB,T0,B2WB__B3XB
E,True,1,D,False,3.0,X,False,True,B3XB,H,True,1.0,W,True,False,B1WNB,T1,B1WNB__B3XB
E,True,1,F,True,1.0,W,True,False,B1WNB,G,False,2.0,W,True,True,B2WB,T1,B1WNB__B2WB
E,True,1,F,True,1.0,W,True,False,B1WNB,H,True,1.0,W,True,False,B1WNB,T2,B1WNB__B1WNB
E,True,1,G,False,2.0,W,True,True,B2WB,H,True,1.0,W,True,False,B1WNB,T1,B1WNB__B2WB
F,False,1,A,False,3.0,X,False,False,NB3XNB,B,False,2.0,X,False,True,NB2XB,T0,NB2XB__NB3XNB
F,False,1,A,False,3.0,X,False,False,NB3XNB,C,False,3.0,X,False,False,NB3XNB,T0,NB3XNB__NB3XNB
F,False,1,A,False,3.0,X,False,False,NB3XNB,D,False,2.0,X,False,True,NB2XB,T0,NB2XB__NB3XNB
