base,base_is_boundary,base_community,optionA_dest,optionA_plausible,optionA_steps,optionA_within_code,optionA_same_community,optionA_dest_is_boundary,optionA_tag,optionA_tag_wx,optionB_dest,optionB_plausible,optionB_steps,optionB_within_code,optionB_same_community,optionB_dest_is_boundary,optionB_tag,optionB_tag_wx,comparison_type,comparison_pair_tag,comparison_pair_tag_wx
B,True,0,D,False,2.0,W,True,True,IB2,IB2W,G,False,3.0,X,False,True,IB3,IB3X,T0,IB2__IB3,IB2W__IB3X
B,True,0,D,False,2.0,W,True,True,IB2,IB2W,H,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB2,IB2W__IB2X
B,True,0,E,True,1.0,X,False,True,PB1,PB1X,F,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1X
B,True,0,E,True,1.0,X,False,True,PB1,PB1X,G,False,3.0,X,False,True,IB3,IB3X,T1,IB3__PB1,IB3X__PB1X
B,True,0,E,True,1.0,X,False,True,PB1,PB1X,H,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1X
B,True,0,F,False,2.0,X,False,False,IB2,IB2X,G,False,3.0,X,False,True,IB3,IB3X,T0,IB2__IB3,IB2X__IB3X
B,True,0,F,False,2.0,X,False,False,IB2,IB2X,H,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB2,IB2X__IB2X
B,True,0,G,False,3.0,X,False,True,IB3,IB3X,H,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB3,IB2X__IB3X
C,False,0,A,True,1.0,W,True,False,PNB1,PNB1W,B,True,1.0,W,True,True,PNB1,PNB1W,T2,PNB1__PNB1,PNB1W__PNB1W
C,False,0,A,True,1.0,W,True,False,PNB1,PNB1W,D,True,1.0,W,True,True,PNB1,PNB1W,T2,PNB1__PNB1,PNB1W__PNB1W
C,False,0,A,True,1.0,W,True,False,PNB1,PNB1W,E,False,2.0,X,False,True,INB2,INB2X,T1,INB2__PNB1,INB2X__PNB1W
C,False,0,A,True,1.0,W,True,False,PNB1,PNB1W,F,False,3.0,X,False,False,INB3,INB3X,T1,INB3__PNB1,INB3X__PNB1W
C,False,0,A,True,1.0,W,True,False,PNB1,PNB1W,G,False,2.0,X,False,True,INB2,INB2X,T1,INB2__PNB1,INB2X__PNB1W
C,False,0,A,True,1.0,W,True,False,PNB1,PNB1W,H,False,3.0,X,False,False,INB3,INB3X,T1,INB3__PNB1,INB3X__PNB1W
C,False,0,B,True,1.0,W,True,True,PNB1,PNB1W,D,True,1.0,W,True,True,PNB1,PNB1W,T2,PNB1__PNB1,PNB1W__PNB1W
C,False,0,B,True,1.0,W,True,True,PNB1,PNB1W,E,False,2.0,X,False,True,INB2,INB2X,T1,INB2__PNB1,INB2X__PNB1W
C,False,0,B,True,1.0,W,True,True,PNB1,PNB1W,F,False,3.0,X,False,False,INB3,INB3X,T1,INB3__PNB1,INB3X__PNB1W
C,False,0,B,True,1.0,W,True,True,PNB1,PNB1W,G,False,2.0,X,False,True,INB2,INB2X,T1,INB2__PNB1,INB2X__PNB1W
C,False,0,B,True,1.0,W,True,True,PNB1,PNB1W,H,False,3.0,X,False,False,INB3,INB3X,T1,INB3__PNB1,INB3X__PNB1W
C,False,0,D,True,1.0,W,True,True,PNB1,PNB1W,E,False,2.0,X,False,True,INB2,INB2X,T1,INB2__PNB1,INB2X__PNB1W
C,False,0,D,True,1.0,W,True,True,PNB1,PNB1W,F,False,3.0,X,False,False,INB3,INB3X,T1,INB3__PNB1,INB3X__PNB1W
C,False,0,D,True,1.0,W,True,True,PNB1,PNB1W,G,False,2.0,X,False,True,INB2,INB2X,T1,INB2__PNB1,INB2X__PNB1W
C,False,0,D,True,1.0,W,True,True,PNB1,PNB1W,H,False,3.0,X,False,False,INB3,INB3X,T1,INB3__PNB1,INB3X__PNB1W
C,False,0,E,False,2.0,X,False,True,INB2,INB2X,F,False,3.0,X,False,False,INB3,INB3X,T0,INB2__INB3,INB2X__INB3X
C,False,0,E,False,2.0,X,False,True,INB2,INB2X,G,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB2,INB2X__INB2X
C,False,0,E,False,2.0,X,False,True,INB2,INB2X,H,False,3.0,X,False,False,INB3,INB3X,T0,INB2__INB3,INB2X__INB3X
C,False,0,F,False,3.0,X,False,False,INB3,INB3X,G,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB3,INB2X__INB3X
C,False,0,F,False,3.0,X,False,False,INB3,INB3X,H,False,3.0,X,False,False,INB3,INB3X,T0,INB3__INB3,INB3X__INB3X
C,False,0,G,False,2.0,X,False,True,INB2,INB2X,H,False,3.0,X,False,False,INB3,INB3X,T0,INB2__INB3,INB2X__INB3X
D,True,0,A,True,1.0,W,True,False,PB1,PB1W,B,False,2.0,W,True,True,IB2,IB2W,T1,IB2__PB1,IB2W__PB1W
D,True,0,A,True,1.0,W,True,False,PB1,PB1W,C,True,1.0,W,True,False,PB1,PB1W,T2,PB1__PB1,PB1W__PB1W
D,True,0,A,True,1.0,W,True,False,PB1,PB1W,E,False,3.0,X,False,True,IB3,IB3X,T1,IB3__PB1,IB3X__PB1W
D,True,0,A,True,1.0,W,True,False,PB1,PB1W,F,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1W
D,True,0,A,True,1.0,W,True,False,PB1,PB1W,G,True,1.0,X,False,True,PB1,PB1X,T2,PB1__PB1,PB1W__PB1X
D,True,0,A,True,1.0,W,True,False,PB1,PB1W,H,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1W
D,True,0,B,False,2.0,W,True,True,IB2,IB2W,C,True,1.0,W,True,False,PB1,PB1W,T1,IB2__PB1,IB2W__PB1W
D,True,0,B,False,2.0,W,True,True,IB2,IB2W,E,False,3.0,X,False,True,IB3,IB3X,T0,IB2__IB3,IB2W__IB3X
D,True,0,B,False,2.0,W,True,True,IB2,IB2W,F,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB2,IB2W__IB2X
D,True,0,B,False,2.0,W,True,True,IB2,IB2W,G,True,1.0,X,False,True,PB1,PB1X,T1,IB2__PB1,IB2W__PB1X
D,True,0,B,False,2.0,W,True,True,IB2,IB2W,H,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB2,IB2W__IB2X
D,True,0,C,True,1.0,W,True,False,PB1,PB1W,E,False,3.0,X,False,True,IB3,IB3X,T1,IB3__PB1,IB3X__PB1W
D,True,0,C,True,1.0,W,True,False,PB1,PB1W,F,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1W
D,True,0,C,True,1.0,W,True,False,PB1,PB1W,G,True,1.0,X,False,True,PB1,PB1X,T2,PB1__PB1,PB1W__PB1X
D,True,0,C,True,1.0,W,True,False,PB1,PB1W,H,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1W
D,True,0,E,False,3.0,X,False,True,IB3,IB3X,F,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB3,IB2X__IB3X
D,True,0,E,False,3.0,X,False,True,IB3,IB3X,G,True,1.0,X,False,True,PB1,PB1X,T1,IB3__PB1,IB3X__PB1X
D,True,0,E,False,3.0,X,False,True,IB3,IB3X,H,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB3,IB2X__IB3X
D,True,0,F,False,2.0,X,False,False,IB2,IB2X,G,True,1.0,X,False,True,PB1,PB1X,T1,IB2__PB1,IB2X__PB1X
D,True,0,F,False,2.0,X,False,False,IB2,IB2X,H,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB2,IB2X__IB2X
D,True,0,G,True,1.0,X,False,True,PB1,PB1X,H,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1X
E,True,1,A,False,2.0,X,False,False,IB2,IB2X,B,True,1.0,X,False,True,PB1,PB1X,T1,IB2__PB1,IB2X__PB1X
E,True,1,A,False,2.0,X,False,False,IB2,IB2X,C,False,2.0,X,False,False,IB2,IB2X,T0,IB2__IB2,IB2X__IB2X
E,True,1,A,False,2.0,X,False,False,IB2,IB2X,D,False,3.0,X,False,True,IB3,IB3X,T0,IB2__IB3,IB2X__IB3X
